id,string
image.lang,_de.gif
image.lang.png,_DE.png
leftimage,.gif
leftlength,144
css.lang,submenubg
buttonWidth,button1_NoWidth
buttonWidth2,button1
address,Anschrift
administrator,Administrator
allow,Zulassen
any,Beliebig
apply,Übernehmen
apsd,APSD
association,Verbindung
authorized,berechtigt
auto,Autom
both,Beides
cancel,Abbrechen
channel,Kanal 
clear,Löschen
close,Schließen
day,Tag
days,Tage
default,Grundeinstellung
default.gateway,Voreingestelltes Gateway
deny,Ablehnen
destination,Ziel
disable,Deaktivieren
disabled,Deaktiviert
enable,Aktivieren
enabled,Aktiviert
gateway,Gateway
guest.network,Gästenetzwerk
high,Hoch
highest,Am höchsten
hour,Stunde
import,import
interface,Schnittstelle
internal.network,Internes Netzwerk
ip,IP
ip.address,IP-Adresse
lan,LAN
lan.ip.address,LAN IP Adresse
link,Link
low,Niedrig
lowest,Am niedrigsten
mac,MAC
mac.address,MAC-Adresse
manual,Manuell
match,Match
medium,Mittel
metric,Metrik
minute,Minute 
month,Monat
multiple,Mehrfach (Multiple)
netmask,Netzmaske
no,Nein
none,Keiner
off,Aus
ok,OK
on,Ein
password,Passwort
permission,Genehmigung
port.range,Port Range
power,Power
project.desc,AC1900 Dualband Wireless Router
protocol,Protokoll
refresh,Aktualisieren
release,Release
renew,Erneuern
reset,Reset (Gerät zurücksetzen)
save,Speichern
schedule,Zeitplan
second,Sekunde
security.mode,Sicherheitsmodus
select,Auswählen
subnet.mask,Subnetzmaske
tcp,TCP
time,Uhrzeit
times,Datum
trigger,Trigger
udp,UDP
user.name,Benutzername
wireless.interface,Wireless Schnittstelle
wireless.name.ssid,W-LAN Netzwerkkennung(SSID)
wireless.network,W-LAN Netzwerk
wireless.network.ac,AC Wireless Netzwerk(802.11ac/a/n)
wmm,WMM
year,Jahr
yes,Ja
access.alert.1,Der Destination Start Port soll kleiner als Destination End Port sein
access.client.filters.func,LAN Client-Filterfunktion
access.desc,Filtern von Paketen bestimmter IP Adressen, vorgesehen für verschiedene Anschlussbereiche (Port Ranges) zu definierten Zeiten.
access.lan.client.filters,Filterregeln für die LAN Clients
access.lan.ip.range,LAN IP Adressenbereich
access.lan.ip.range,LAN IP-Adressbereich
access.title,Zugangskontrolle
access.url.filters,Webs URL-Filterregeln
access.url.filters.func,Webs URL-Filterfunktion
adm.node.file.sharing,File Sharing
adm.node.management,Einstellungen
adm.node.settings,Einstellungen verwalten
adm.node.status,Status
adm.node.system.log,System Log
adm.node.time,Uhrzeit
adm.node.upload,Firmware hochladen
adv.2,Beacon Intervall
adv.3,DTIM
adv.4,Schwelle für Fragmentation
adv.5,RTS(Request-To-Send)Schwelle
adv.6,Short Preamble
adv.7,20/40 MHz Koexistenz
adv.desc,Verwenden Sie die Seite für erweiterte W-Lan Einstellungen um detailiertere Einstellungen vorzunehmen. Die erweiterten Einstellungen bieten Ihnen die Möglichkeit tiefere Einstellungen vorzunehmen, welche im Basis Setup nicht aufgeführt sind.
adv.node.ac,Zugangskontrolle
adv.node.dmz,DMZ
adv.node.filter,Filter
adv.node.gaming,Gaming
adv.node.network,Erweiterte Netzwerk-Einstellungen
adv.node.routing,Routing
adv.node.schedule,Zeitplan
adv.node.special.app,Spezielle Anwendungen
adv.node.virtual.server,Virtueller Server
adv.node.alg,ALG
adv.node.dos,DoS
adv.title,Erweiterte Wireless Einstellungen
alg.1,Anwendung-Level-Gateway(ALG)Konfiguration
alg.2,Service Name
alg.3,Beschreibung
alg.4,E-mail wird empfangen
alg.5,Post Office Protocol - Version 3(POP3)
alg.6,Simple Mail Transfer Protocol(SMTP)
alg.7,Media streamen
alg.8,Echtzeit Übertragungsprotokoll(RTP)
alg.9,Echtzeit Stream Protokoll(RTSP)
alg.10,Microsoft Medien Server Protokoll(WMP/MMS)
alg.11,Media-VoIP streamen
alg.12,Session Initiierungsprotokoll
alg.13,NetMeeting(H.323)
alg.14,Datenübertragung
alg.15,File Transfer Protocol(FTP)
alg.16,Trivialdatei Übertragungsprotokoll(TFTP)
alg.17,Fernsteuerung(via WAN)
alg.18,TELNET
alg.19,Sofortnachrichten
alg.20,MSN messenger
alg.21,IPSec
alg.desc,ALG Konfiguration erlaubt Benutzern, einige Applikationsdienste zu deaktivieren.
alg.title,Anwendung-Level-Gateway(ALG)Konfiguration
adm.node.ipv6.status,IPv6-Status
ipv6.status.connection.type,Anschlusstyp
ipv6.status.default.gateway,IPv6 Standard-Gateway
ipv6.status.desc,Der IPv6 Status des Geräts.
ipv6.status.dns,EINSTELLUNGEN VON Ipv6 DNS.
ipv6.status.internet.config,IPv6 Internet-Konfigurationen
ipv6.status.network,Netzwerkstatus
ipv6.status.network.prefix,Netz-Präfix
adm.node.devicemode,Gerätemodus
device.desc,Wählen Sie den Modus aus, in dem Sie das Gerät betreiben möchten und klicken Sie dann auf Übernehmen, um die Änderungen zu speichern.
device.router.desc,Dies ist der Standard-Gerätemodus. Die Hauptfunktion dieses Modus ist es, kabelgebundene und kabellose Verbindung zum Internet herzustellen durch die Verwendung einer einzigen geteilten IP-Adresse. Funktionen wie Port Forwarding, DMZ, elterliche Kontrollen, Zeitplanerstellung, Gastnetzwerk und andere Zugriffskontrollen stehen in diesem Modus zur Verfügung. Dies ist der empfohlene Modus.
device.bridge.desc,Die Funktion dieses Modus ist es, mehrere über Kabel verbundene Ethernet-Client-Geräte mit einer Wireless-Verbindung zu versorgen. Ein typisches Beispiel dafür, wann dieser Modus verwendet werden kann ist wenn Ihr Entertainment-/Media-Center zu Hause über mehrere  netzwerkfähige Mediageräte verfügt, die eine Internet- oder Netzwerkverbindung benötigen wie zum Beispiel ein HD Smart-TV, eine Spielkonsole, Set-Top-Box, oder DVR. Das Gerät stellt zunächst eine Verbindung (ähnlich wie ein wirelessfähiges Client-Gerät wie ein Laptop oder ein Mobiltelefon) zu Ihrem Wireless-Netzwerk (meist durch einen Wireless-Router oder Access Point erstellt) her und erweitert die Verbindung mit Ihrem Netzwerk auf Ihre kabelgebundenen Client-Geräte über die vier LAN Switch Ports (1-4). Nachdem Sie diesen Modus ausgewählt und aktiviert haben, klicken Sie auf Basic > Wireless > Site Survey, um nach dem Wireless-Netzwerk zu suchen, zu dem Sie eine Verbindung herstellen  möchten und geben Sie den Wireless-Sicherheitsschlüssel ein (falls notwendig), um eine Verbindung zu Ihrem Netzwerk herzustellen. Nachdem Sie das Gerät erfolgreich zur Verbindung mit Ihrem Wireless-Netzwerk eingerichtet haben, können Sie das Gerät über die vier LAN Switch Ports (1-4) dort einstecken, wo Sie die Netzwerkverbindung auf die kabelgebundenen Client-Geräte erweitern möchten. In diesem Modus kann das Gerät nur jeweils zu einer Frequenz eine Verbindung herstellen (2.4GHz oder 5GHz) und die Zugriffskontrollfunktionen, die im Routermodus zur Verfügung stehen, sind nicht verfügbar.
device.router,Router
device.bridge,Client Bridge
ipv6.desc,Bitte kontaktieren Sie Ihren Internetserviceanbieter(ISP), falls dieser IPv6 unterstützt.
an.1,UPnP
an.2,WAN Ping
an.3,WAN Ping Antwort
an.desc,Wenn Sie noch nicht mit diesen erweiterten Netzwerkeinstellungen vertraut sind, lesen Sie bitte die Anleitungen zur Hilfe durch bevor die Einstellungen geändert werden.
